direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
short,2025-02-26 11:49:00+00:00,2914.18,2025-02-26 12:02:00+00:00,2914.18,stop_be,23.3782721785997,8.756789474173054,9.53670850558185,1.5650000000000546,True
short,2025-03-03 10:05:00+00:00,2862.27,2025-03-03 10:10:00+00:00,2864.7485714285717,stop_loss,14.778989011419736,-42.555548024354444,5.924768117473772,2.4785714285717404,False
long,2025-03-04 10:03:00+00:00,2897.95,2025-03-04 10:10:00+00:00,2902.8028571428567,full_2r,15.00889109021631,48.5338771290259,6.093126121112438,2.4264285714284597,True
short,2025-03-06 07:00:00+00:00,2916.95,2025-03-06 07:03:00+00:00,2916.95,stop_be,26.773573382032186,7.3980144169657205,10.932321359236294,1.3692857142859793,True
long,2025-03-06 08:59:00+00:00,2920.45,2025-03-06 09:04:00+00:00,2920.45,stop_be,30.257200397107457,5.976496668125025,12.372334144119401,1.2128571428570467,True
short,2025-03-06 12:03:00+00:00,2893.57,2025-03-06 12:20:00+00:00,2897.7935714285713,stop_loss,8.695850118546312,-40.252802179770114,3.5252580719406357,4.2235714285711765,False
short,2025-03-06 12:39:00+00:00,2902.99,2025-03-06 13:06:00+00:00,2902.99,stop_be,11.953434346821942,13.406320415841419,4.856819632623894,3.0557142857142026,True
short,2025-03-10 07:34:00+00:00,2911.88,2025-03-10 07:58:00+00:00,2910.2400000000007,full_2r,44.6259898768571,36.70143600987598,18.188531538638774,0.819999999999709,True
long,2025-03-13 11:57:00+00:00,2941.88,2025-03-13 12:18:00+00:00,2944.778571428572,full_2r,25.37582377066341,44.70999877178501,10.4552295468038,1.4492857142859066,True
long,2025-03-14 14:33:00+00:00,2996.65,2025-03-14 14:59:00+00:00,2993.7185714285715,stop_loss,12.62195819251594,-42.293081589561424,5.2927127166433,2.931428571428569,False
long,2025-03-17 10:01:00+00:00,2989.84,2025-03-17 10:28:00+00:00,2987.735714285714,stop_loss,17.482846181584808,-44.104256037584705,7.315352572614385,2.1042857142861067,False
long,2025-03-18 09:00:00+00:00,3011.93,2025-03-18 09:03:00+00:00,3014.3457142857137,full_2r,30.275419904615053,42.08249123078118,12.77008204639241,1.2078571428569376,True
long,2025-03-18 09:02:00+00:00,3013.9,2025-03-18 11:22:00+00:00,3020.9928571428577,full_2r,10.32360375924717,50.55803743410682,4.359847563749156,3.5464285714288053,True
short,2025-03-20 14:41:00+00:00,3031.68,2025-03-20 14:50:00+00:00,3034.265,stop_loss,14.325564730408633,-43.11445097050874,6.082866142401901,2.5850000000000364,False
short,2025-03-21 13:04:00+00:00,3031.19,2025-03-21 13:07:00+00:00,3032.4185714285713,stop_loss,29.966521861954654,-49.53538069051778,12.719368117263492,1.2285714285712857,False
short,2025-03-24 08:03:00+00:00,3019.07,2025-03-24 08:08:00+00:00,3020.6164285714285,stop_loss,23.64696071026776,-46.56575160731532,9.997415937513617,1.5464285714283506,False
long,2025-03-28 10:06:00+00:00,3084.96,2025-03-28 10:10:00+00:00,3082.599285714286,stop_loss,15.3917427160292,-42.98057091157511,6.645063999809977,2.360714285714039,False
long,2025-03-31 08:49:00+00:00,3112.99,2025-03-31 08:53:00+00:00,3117.0928571428567,full_2r,17.607536796689732,46.503421386203065,7.67748469960781,2.0514285714284597,True
long,2025-04-01 09:04:00+00:00,3131.84,2025-04-01 17:22:00+00:00,3123.897142857143,stop_loss,4.576831801240474,-38.357323132832356,2.0042019686940855,7.942857142857065,False
short,2025-04-04 13:08:00+00:00,3097.1,2025-04-04 13:26:00+00:00,3101.83,stop_loss,7.645102441537837,-39.478736389928656,3.31740184145455,4.730000000000018,False
short,2025-04-07 07:37:00+00:00,3029.09,2025-04-07 07:59:00+00:00,3035.072857142857,stop_loss,6.011164901281663,-38.51562867110038,2.5516878045759146,5.9828571428570285,False
short,2025-04-07 07:58:00+00:00,3033.23,2025-04-07 08:04:00+00:00,3036.533571428571,stop_loss,10.884452998267825,-40.58219188196955,4.624623941266877,3.3035714285711038,False
long,2025-04-08 11:41:00+00:00,3004.92,2025-04-08 11:48:00+00:00,3004.92,stop_be,14.223316900671836,11.799390867104469,5.984835014775086,2.500714285714821,True
long,2025-04-09 09:10:00+00:00,3018.83,2025-04-09 09:23:00+00:00,3030.631428571428,full_2r,6.0378196592827615,50.885631037942,2.5555420391999606,5.9007142857140025,True
long,2025-04-10 09:13:00+00:00,3123.06,2025-04-10 10:05:00+00:00,3118.610714285714,stop_loss,8.064637601957925,-39.405453737187116,3.52357686390277,4.449285714285907,False
long,2025-04-11 07:20:00+00:00,3212.32,2025-04-11 07:46:00+00:00,3212.32,stop_be,13.885155488169707,11.596677057677026,6.245747744622184,2.5700000000001637,True
long,2025-04-16 14:11:00+00:00,3298.19,2025-04-16 14:28:00+00:00,3294.679285714286,stop_loss,10.181071451850201,-40.44140611882641,4.698573128939602,3.51071428571413,False
long,2025-04-21 10:22:00+00:00,3394.99,2025-04-21 10:40:00+00:00,3391.6785714285716,stop_loss,10.752797110332676,-40.715416488181454,5.108296914254991,3.311428571428223,False
long,2025-04-21 10:01:00+00:00,3393.4,2025-04-21 10:45:00+00:00,3389.907857142857,stop_loss,10.19982150130807,-40.462430853114796,4.843197053189439,3.4921428571428805,False
