TOP_CLOSEST_TO_696138_48
saved_runs/2026-06-16_6y/cash/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=2087|sum_net=3865271.49|final_10k=3875271.49|qty=(0.29111407876204815,26.216590188208833,779.5915740556622)|conf=(1.0,1.0,1.5)
saved_runs/2026-06-16_6y/reports/cash_yearly_metrics.csv|rows=5|sum_net=3865271.49|final_10k=3875271.49|qty=(None,None,None)|conf=(None,None,None)
saved_runs/2026-06-16_6y/reports/cash_monthly_metrics.csv|rows=60|sum_net=3865271.49|final_10k=3875271.49|qty=(None,None,None)|conf=(None,None,None)

CURRENT_AND_KEY_EXPORTS
phantom_mt5_tester_export_20260518_120212.csv|rows=378|sum_net=-3048.57|final_10k=6951.43|qty=(0.07,0.49,1.76)|conf=(1.0,1.5,1.5)
phantom_mt5_tester_export_latest.csv|rows=378|sum_net=-3048.57|final_10k=6951.43|qty=(0.07,0.49,1.76)|conf=(1.0,1.5,1.5)
phantom_mql5_trade_log.csv|rows=153|sum_net=-1775.46|final_10k=8224.54|qty=(0.17,0.52,1.81)|conf=(1.0,1.0,1.0)
phantom_mql5_trade_log_latest.csv|rows=0|sum_net=0.00|final_10k=10000.00|qty=(None,None,None)|conf=(None,None,None)
saved_runs/2026-06-16_6y/cash/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=2087|sum_net=3865271.49|final_10k=3875271.49|qty=(0.29111407876204815,26.216590188208833,779.5915740556622)|conf=(1.0,1.0,1.5)
saved_runs/v7_nov01_jan31/phantom_p2_ftmo_trades_US100_P2_FTMOB.csv|rows=68|sum_net=8966.88|final_10k=18966.88|qty=(2.0358251277045185,4.68492103640575,18.99404277957105)|conf=(1.0,1.0,1.5)
