branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test3,full,2019-11,-1023.46,-0.596
p2_filter_test3,full,2019-12,-1244.02,-0.714
p2_filter_test3,full,2020-01,-1828.15,-1.046
p2_filter_test3,full,2020-02,-4208.11,-2.396
p2_filter_test3,full,2020-03,-2534.13,-1.443
p2_filter_test3,full,2020-04,-3036.28,-1.729
p2_filter_test3,full,2020-05,-1330.74,-0.752
p2_filter_test3,full,2020-06,-1171.39,-0.629
p2_filter_test3,full,2020-07,-542.86,-0.279
p2_filter_test3,full,2020-08,-794.52,-0.392
p2_filter_test3,full,2020-09,-2927.64,-1.405
p2_filter_test3,full,2020-10,-2888.19,-1.386
p2_filter_test3,full,2020-11,-860.33,-0.403
p2_filter_test3,full,2020-12,-4323.87,-1.922
p2_filter_test3,full,2021-01,-2635.19,-1.17
p2_filter_test3,full,2021-02,-1649.48,-0.697
p2_filter_test3,full,2021-03,-4990.47,-2.11
p2_filter_test3,full,2021-04,-3971.77,-1.679
p2_filter_test3,full,2021-05,-1649.22,-0.655
p2_filter_test3,full,2021-06,-4004.52,-1.578
p2_filter_test3,full,2021-07,-3395.05,-1.325
p2_filter_test3,full,2021-08,-7163.84,-2.795
p2_filter_test3,full,2021-09,-4967.29,-1.938
p2_filter_test3,full,2021-10,-4145.68,-1.501
p2_filter_test3,full,2021-11,-5078.88,-1.838
p2_filter_test3,full,2021-12,-4762.3,-1.724
p2_filter_test3,full,2022-01,-3307.3,-1.116
p2_filter_test3,full,2022-02,-3290.47,-1.11
p2_filter_test3,full,2022-03,-1474.99,-0.49
p2_filter_test3,full,2022-04,-1121.68,-0.372
p2_filter_test3,full,2022-05,-1480.1,-0.479
p2_filter_test3,full,2022-06,-2526.46,-0.759
p2_filter_test3,full,2022-07,-2279.48,-0.669
p2_filter_test3,full,2022-08,-4871.99,-1.426
p2_filter_test3,full,2022-09,-5030.21,-1.472
p2_filter_test3,full,2022-10,-5615.34,-1.586
p2_filter_test3,full,2022-11,-4678.55,-1.318
p2_filter_test3,full,2022-12,-2649.53,-0.703
p2_filter_test3,full,2023-01,-5009.65,-1.288
p2_filter_test3,full,2023-02,-4632.81,-1.134
p2_filter_test3,full,2023-03,-7363.43,-1.803
p2_filter_test3,full,2023-04,-4335.44,-1.009
p2_filter_test3,full,2023-05,-4543.4,-0.985
p2_filter_test3,full,2023-06,-2673.2,-0.548
p2_filter_test3,full,2023-07,-4948.06,-0.987
p2_filter_test3,full,2023-08,-3420.07,-0.67
p2_filter_test3,full,2023-09,-4647.85,-0.861
p2_filter_test3,full,2023-10,-5889.62,-1.091
p2_filter_test3,full,2023-11,-11771.5,-2.181
p2_filter_test3,full,2023-12,-15807.32,-2.928
p2_filter_test3,full,2024-01,-9235.56,-1.711
p2_filter_test3,full,2024-02,-4349.86,-0.757
p2_filter_test3,full,2024-03,-6527.78,-1.101
p2_filter_test3,full,2024-04,-5659.74,-0.942
p2_filter_test3,full,2024-05,-14748.87,-2.455
p2_filter_test3,full,2024-06,-6023.3,-0.985
p2_filter_test3,full,2024-07,-3641.58,-0.568
p2_filter_test3,full,2024-08,-4472.26,-0.697
p2_filter_test3,full,2024-09,-4351.03,-0.632
p2_filter_test3,full,2024-10,-10638.77,-1.491
p2_filter_test3,full,2024-11,-12231.28,-1.616
p2_filter_test3,full,2024-12,-13068.47,-1.726
p2_filter_test3,full,2025-01,-3923.77,-0.499
p2_filter_test3,full,2025-02,-3291.6,-0.398
p2_filter_test3,full,2025-03,-8410.43,-1.001
p2_filter_test3,full,2025-04,-4892.33,-0.574
p2_filter_test3,full,2025-05,-6195.98,-0.674
p2_filter_test3,full,2025-06,-9244.81,-0.976
p2_filter_test3,full,2025-07,-6516.32,-0.665
p2_filter_test3,full,2025-08,-11194.16,-1.078
p2_filter_test3,full,2025-09,-10537.43,-1.013
