branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test3,full,2025-09,7858.58,17.464,1040868.74,-579.03,-0.056
p2_filter_test3,full,2025-10,34624.77,76.944,1075493.51,-1639.0,-0.152
p2_filter_test3,full,2025-11,43345.14,96.323,1118838.65,-61.88,-0.006
p2_filter_test3,full,2025-12,138.45,0.308,1118977.1,-3353.38,-0.299
p2_filter_test3,full,2026-01,-6132.75,-13.628,1112844.35,-9486.13,-0.845
p2_filter_test3,full,2026-02,9434.02,20.964,1122278.37,-5405.79,-0.479
p2_filter_test3,full,2026-03,26377.33,58.616,1148655.7,-101.49,-0.009
p2_filter_test1,policy,2022-01,349.52,2.33,15349.52,-35.93,-0.234
p2_filter_test1,policy,2022-02,83.72,0.558,15433.24,-91.0,-0.586
p2_filter_test1,policy,2022-03,-14.02,-0.093,15419.22,-105.02,-0.676
p2_filter_test1,policy,2022-04,611.01,4.073,16030.23,0.0,0.0
p2_filter_test1,policy,2022-05,1068.33,7.122,17098.56,0.0,0.0
p2_filter_test1,policy,2022-06,155.07,1.034,17253.63,-107.3,-0.618
p2_filter_test1,policy,2022-07,243.83,1.626,17497.46,0.0,0.0
p2_filter_test1,policy,2022-08,914.08,6.094,18411.55,0.0,0.0
p2_filter_test1,policy,2022-09,211.11,1.407,18622.66,-76.6,-0.41
p2_filter_test1,policy,2022-10,1286.7,8.578,19909.36,0.0,0.0
p2_filter_test1,policy,2022-11,1236.34,8.242,21145.7,0.0,0.0
p2_filter_test1,policy,2022-12,1094.93,7.3,22240.63,-31.17,-0.14
p2_filter_test1,policy,2023-01,950.83,6.339,23191.46,-20.74,-0.089
p2_filter_test1,policy,2023-02,1162.15,7.748,24353.61,-85.6,-0.35
p2_filter_test1,policy,2023-03,83.18,0.555,24436.8,-134.16,-0.546
p2_filter_test1,policy,2023-04,1209.89,8.066,25646.69,0.0,0.0
p2_filter_test1,policy,2023-05,342.54,2.284,25989.23,-331.19,-1.258
p2_filter_test1,policy,2023-06,316.41,2.109,26305.64,-315.74,-1.186
p2_filter_test1,policy,2023-07,398.43,2.656,26704.07,0.0,0.0
p2_filter_test1,policy,2023-08,121.96,0.813,26826.03,-174.87,-0.648
p2_filter_test1,policy,2023-09,902.78,6.019,27728.82,-3.46,-0.012
p2_filter_test1,policy,2023-10,539.02,3.593,28267.83,-148.5,-0.523
p2_filter_test1,policy,2023-11,193.73,1.292,28461.57,-165.39,-0.578
p2_filter_test1,policy,2023-12,469.73,3.132,28931.3,-371.63,-1.268
p2_filter_test1,policy,2024-01,1296.71,8.645,30228.02,0.0,0.0
p2_filter_test1,policy,2024-02,625.36,4.169,30853.38,-124.52,-0.402
p2_filter_test1,policy,2024-03,1754.15,11.694,32607.53,-231.69,-0.706
p2_filter_test1,policy,2024-04,1431.89,9.546,34039.41,0.0,0.0
